x,y
38.162572,41.907890
38.050881,43.922599
36.843716,49.904094
38.733554,42.993523
39.158505,43.190186
37.701053,42.591316
39.085897,42.754446
37.928419,44.325893
37.841819,45.009370
38.720920,45.246286
37.808911,46.180688
39.306061,47.957857
38.417416,48.801313
38.573145,47.524640
39.126813,49.402800
38.151770,49.490958
38.439787,48.803493
37.922893,49.183256
38.864021,49.677442
37.951215,51.927498
39.089839,38.741840
39.558449,40.462532
40.129350,40.613969
38.847552,40.398295
38.758939,41.631560
39.893224,42.174029
39.751264,42.780600
40.454076,45.797438
39.090065,44.754628
39.021460,48.674283
38.774651,50.552174
39.635076,52.437137
39.975961,38.310895
41.435155,39.612293
40.751858,41.043817
40.393773,41.577584
40.498425,41.014588
40.402308,42.208840
40.594623,42.677450
40.117554,43.386137
40.927304,41.717948
40.475641,42.923527
40.575175,43.527822
40.026702,43.605451
40.142548,43.363200
40.240037,45.009652
40.148612,44.742780
39.610916,44.836453
40.280475,44.663475
40.343548,45.863695
40.502441,45.856996
40.902733,45.809865
40.587556,44.685629
40.782697,46.817978
40.917283,47.638410
40.285916,48.109111
40.962879,47.970771
40.357508,48.176377
40.445794,47.688453
40.425620,48.227706
40.267763,48.834906
39.780224,48.999151
40.414549,48.322284
39.943519,50.304551
40.522616,49.354161
39.964295,50.418949
41.933245,36.150893
41.111519,37.235874
42.246246,38.770037
41.238338,38.005661
41.266134,38.812120
41.778077,39.611775
40.604011,40.688121
41.200621,40.751070
42.300098,42.073409
41.482224,42.448544
42.058365,43.688441
41.800759,44.491538
41.807740,43.754340
42.346889,44.379224
41.175815,45.243323
41.008043,45.641150
41.025978,46.131006
40.892199,46.083483
41.837148,45.911186
41.376200,45.374951
40.850202,46.242970
42.101293,46.104682
41.466535,46.948291
41.238602,46.973680
41.899740,48.269969
41.620186,46.529281
42.132634,48.718519
41.487717,47.566114
40.902115,48.131552
40.771826,48.402043
41.393330,48.513667
41.304822,49.899200
41.492280,52.425777
40.723792,51.431591
41.806027,52.780971
41.099988,54.284907
42.393661,38.305014
42.812282,39.137873
41.920240,38.867982
43.091047,38.470336
43.079349,39.776438
42.777302,41.215142
42.466116,40.679132
42.713568,41.123165
41.946949,40.105827
43.277955,41.723901
42.554514,41.615254
42.173061,41.426756
43.195985,41.504136
42.431198,44.298135
42.639112,43.907269
42.824667,43.265081
41.570208,43.410234
41.967042,44.496299
43.305080,44.956742
42.395769,44.026815
42.805254,43.739393
42.402315,45.698471
43.050637,46.164324
42.216206,47.169150
42.896074,45.996313
42.076340,47.391941
42.435978,46.598012
42.220462,48.251179
43.121163,46.985257
42.974141,48.010117
41.858473,48.252077
