employId,studentId,companyName,position,salary,startDate,endDate,nationality,destination
E587187,S567964,Huawei,OccupationalTherapist,76273,2022-01-20,2023-12-08,Finland,1
E324497,S488967,DHL,Florist,56189,2019-07-08,2024-03-30,Congo(Republic),1
E695351,S338192,Nike,DroneOperator,47801,2018-10-08,2023-08-06,Canada,0
E289420,S825724,Siemens,Pharmacist,79282,2020-09-17,2024-03-12,Gambia,1
E395470,S626163,JohnsHopkinsUniversity,Pharmacist,78740,2018-07-14,2025-03-26,Gambia,2
E700343,S301682,Vodafone,LawEnforcementOfficer,67166,2019-03-11,2023-08-05,Ecuador,0
E435974,S531296,Boeing,Librarian,68503,2019-12-07,2024-12-18,Egypt,0
E908853,S615615,LG,SoftwareDeveloper,94066,2019-12-25,2023-05-01,Indonesia,0
E10163,S281399,Siemens,OccupationalTherapist,75868,2020-08-18,2024-09-30,Finland,0
E150586,S186922,SAP,ITSupportSpecialist,63278,2021-04-07,2023-08-30,Denmark,1
E620477,S369993,Tencent,Musician,74554,2019-10-09,2025-09-23,Ethiopia,2
E734379,S807677,SAP,FilmDirector,51710,2018-03-01,2023-01-24,China,1
E635727,S61509,Samsung,Electrician,49504,2022-08-25,2023-09-21,CentralAfricanRepublic,2
E343741,S240348,UniversityofWashington,FreelanceWriter,57221,2018-10-19,2023-08-20,CostaRica,2
E500531,S371450,UniversityofWisconsin-Madison,GameDeveloper,58263,2019-08-07,2023-08-30,Côted'Ivoire,2
E598725,S936898,Mitsubishi,FlightAttendant,55587,2018-12-27,2023-08-04,Congo(DemocraticRepublic),2
E747887,S998543,Philips,Electrician,49272,2018-07-03,2025-11-09,CentralAfricanRepublic,1
E967097,S824693,UniversityofWashington,Copywriter,39903,2021-09-01,2023-06-03,Brazil,2
E217291,S573175,VireoWorksEngineering,Photographer,79730,2021-04-17,2024-08-09,Georgia,1
E216263,S406808,Siemens,FlightAttendant,54795,2022-10-10,2024-12-28,Congo(DemocraticRepublic),1
E89562,S614706,OnyxMarineSolutions,Musician,74352,2020-08-11,2023-11-29,Ethiopia,1
