x,y
9.727814,59.213514
10.707958,59.681388
10.899666,61.528970
11.232984,53.255054
11.097807,51.712539
10.660304,53.207989
12.044319,53.786257
10.971714,62.344334
12.701512,45.824670
13.012564,48.942532
12.385055,50.651076
11.967092,53.174108
12.916456,53.757233
12.511992,55.427763
12.452781,55.785117
12.073398,58.657477
12.238392,58.793217
12.948613,58.682868
12.447013,60.207823
13.213443,59.133138
12.835131,61.044590
11.781816,60.317467
12.332335,59.992417
12.079098,61.618484
12.920933,62.486964
12.498107,61.514201
13.061329,34.886375
13.161203,35.930762
13.415092,49.027314
12.564409,50.356408
13.581487,49.543066
13.796157,52.899744
13.932780,52.876496
13.646261,54.364631
13.189833,56.000613
13.352648,55.937828
13.741737,56.425483
13.524752,58.354163
13.194357,58.643261
13.199415,58.661873
13.327350,58.745118
13.460566,58.719235
13.930533,61.196176
13.053046,60.264203
13.792438,62.377107
14.285082,61.863087
13.891818,62.356267
13.339104,61.519141
14.242306,63.565190
14.152983,36.751307
14.354427,49.418393
15.206180,49.809986
14.465372,50.115820
14.666374,52.226424
15.186537,51.211662
14.888802,52.216305
13.818294,53.031471
14.380264,52.975789
13.846984,53.483706
14.692204,52.746732
13.831051,54.188755
14.120018,54.173598
14.311362,55.766638
15.310474,57.629934
14.141382,58.687093
14.127945,58.931926
14.269943,60.206636
14.784476,62.381477
14.700408,61.526890
14.518833,63.279664
13.619537,63.248321
14.788956,30.978988
16.112304,34.606833
14.602024,48.598779
15.544382,47.719492
15.785898,50.095397
16.229813,48.935682
16.284032,49.337227
15.912915,50.809506
16.050098,52.013380
15.591332,52.774339
15.402156,52.571041
16.149756,54.040018
15.590958,53.623658
15.441311,54.737018
15.113803,55.914747
16.083568,54.802263
15.134982,57.046973
14.917251,56.007961
16.060744,55.743221
14.766260,58.065352
14.810784,57.568062
14.961702,58.205669
15.839481,57.974789
16.263810,57.316532
14.637710,59.365640
16.372008,59.545883
15.564248,59.553229
15.281729,60.970918
15.796956,61.323359
14.961376,60.896132
14.668437,62.008093
15.399689,61.545053
15.036976,62.113596
15.485434,62.863121
16.342533,62.152436
15.358978,62.734853
15.593430,63.349800
16.298808,63.554052
15.781114,63.993866
15.830451,66.324141
15.568308,65.060410
15.613461,66.282668
16.409933,33.213238
15.770917,37.307802
16.029188,38.120102
17.307353,39.624573
15.948466,50.239733
15.791220,51.841076
17.468362,52.302287
16.784466,54.333579
15.693327,53.675524
15.756777,53.203934
15.610768,54.643078
16.341280,55.620393
15.755042,55.236374
16.717896,54.666931
16.384061,56.406471
16.861861,55.980624
17.001645,56.716131
16.576115,57.490008
16.461510,57.826352
17.199900,57.037194
16.230169,58.009289
15.974120,58.449628
15.791786,59.072080
16.863985,58.269037
15.790260,58.727612
16.360517,58.949977
15.825379,60.960093
15.881606,60.785057
17.455508,60.297327
15.971762,60.887953
15.850251,61.233630
16.095963,61.244361
16.827548,61.956160
17.053928,63.311242
15.952550,62.480285
17.018725,63.136382
16.698205,62.810960
16.670642,63.276693
15.510815,64.385500
16.628270,63.562962
16.967489,64.119629
15.728543,65.737774
16.357734,65.048383
15.981607,65.209658
15.603998,65.241914
16.994810,64.640177
16.309663,68.061978
17.143744,31.592682
17.654133,33.377456
17.791464,34.398904
17.729817,35.593313
16.784593,36.559864
17.519341,38.128972
17.438660,37.651152
17.113732,40.081026
17.956107,41.347638
18.032956,43.697937
16.524032,45.293549
17.328001,47.125672
17.855131,46.157952
17.562336,46.738469
16.850243,48.838893
17.461012,49.378592
17.156890,51.338906
