x,y
29.024245,42.763578
27.657054,43.145090
28.749195,38.045600
29.885366,44.372901
29.188087,42.724944
29.880387,44.697857
30.092127,46.076631
29.934869,38.926285
30.110541,38.681841
30.263876,40.128479
30.004463,39.434971
31.417174,41.852530
30.057399,40.619588
30.327063,40.900217
29.737129,42.351673
30.087671,42.479353
29.634547,43.112478
29.921377,43.362888
31.253862,43.585368
31.322431,43.870280
31.155166,44.423133
30.417742,44.498145
30.800636,45.975627
30.268259,45.575374
30.079803,48.065811
30.773263,50.419617
30.504614,51.536179
31.209984,37.339695
30.966105,37.883022
31.212003,38.230557
31.780963,40.880396
30.779595,41.991703
31.794123,41.964915
32.126190,43.041154
30.931114,43.932998
32.030799,44.594829
30.852173,43.784660
30.726774,44.967480
32.343657,45.983284
31.276267,46.308545
30.865550,46.147216
31.353047,45.586261
31.828410,46.796932
32.246455,48.675767
30.936875,49.316188
32.205143,48.386570
31.800194,49.984548
31.699933,48.726376
31.535504,50.893497
32.072899,37.816206
32.188747,37.536270
33.009147,37.708043
33.016459,36.993218
33.268402,39.324808
33.214352,39.008201
31.713407,39.867894
32.653092,39.851026
31.715061,40.038545
33.422609,40.193196
32.764545,40.273689
33.042348,40.700434
32.043459,42.234502
32.632656,41.259610
32.396328,42.412614
33.173074,43.063335
33.441044,42.325990
32.171184,43.722507
33.053412,45.103541
32.296900,44.305353
32.276852,44.748394
31.733815,45.912196
33.347627,45.561023
32.508839,45.017979
32.518957,45.758981
31.946731,46.979664
32.889816,45.985206
31.862731,46.687353
33.246597,47.725748
31.854094,47.882197
33.011448,46.870043
31.914003,48.993867
31.682053,49.040624
32.953267,50.260881
32.666510,49.470424
33.400797,49.927671
32.468422,49.578345
32.466453,50.281347
32.663772,50.860380
32.673143,50.458093
32.084791,49.992711
32.268859,50.498797
34.365452,29.421071
32.925284,35.221316
33.342536,34.819533
33.820441,34.994004
33.931512,37.238556
33.084078,35.848088
33.439019,36.578013
33.709046,36.833845
33.801241,36.765760
33.596595,37.617649
33.923034,38.401626
33.992857,37.889865
33.084140,39.060378
32.813582,39.126327
34.061221,38.663855
33.814990,39.401659
33.653224,39.213219
33.971802,38.975258
32.851675,39.112303
33.979985,39.585229
32.792206,38.807152
33.598978,40.218060
34.366486,40.985267
33.552823,42.188329
33.862846,42.400352
33.329387,43.342060
33.414953,42.654219
32.842095,42.579296
34.001806,43.116700
33.102960,43.067906
33.295838,45.180106
33.491522,45.722112
33.227939,44.550648
33.358630,44.688091
32.754586,46.047781
34.149559,45.567213
34.264378,46.015324
34.436032,45.400311
34.154355,44.773878
33.451935,45.688447
34.242964,46.022729
33.724960,47.798086
32.924750,47.879897
33.814590,48.042117
33.900344,48.820626
33.076073,49.873493
34.767191,30.418515
34.352824,31.277137
33.825456,30.597945
34.799980,34.394437
34.103085,35.141981
34.806250,35.804183
33.859332,35.632222
